model;size_gb;status;load_s;pp_tps;tg_tps;pp_n;tg_n;note
gemma-3-4b-it-Q4_K_M.gguf;3;OK;1;473.7;26.9;2304;128;
VibeThinker-3B.Q8_0.gguf;4;OK;6;535.2;22.8;2687;128;
Qwen2.5-VL-7B-Instruct-Q4_K_M.gguf;5;OK;5;277.9;17.3;2687;128;
Qwen3-VL-8B-Instruct-Q4_K_M.gguf;5;OK;5;243.1;15.6;2687;128;
Llama-3.2-11B-Vision-Instruct.Q4_K_M.gguf;6;FAIL_LOAD;301;;;;;crash loop: ruct.Q4_K_M.gguf' 0.00.152.509 I srv    operator(): operator(): cleaning up before exit... 0.00.153.526 E srv  llama_server: exiting due to model loading error 
GLM-4.6V-Flash-UD-Q4_K_XL.gguf;6;OK;11;241.4;13.1;2476;128;
gemma-4-12B-it-qat-UD-Q4_K_XL.gguf;7;OK;6;160.5;10.5;2304;128;
OpenCoder-8B-Instruct-Q8_0.gguf;8;OK;6;235.6;9.8;2752;128;
Seed-Coder-8B-Instruct-Q8_0.gguf;9;OK;11;237.8;9.5;2523;128;
ornith-1.0-9b-Q8_0.gguf;9;OK;10;217.5;9.0;2303;128;
gpt-oss-20b-F16.gguf;13;OK;11;444.5;20.3;2202;128;
Devstral-Small-2-24B-Instruct-2512-UD-Q4_K_XL.gguf;14;OK;11;80.4;5.5;2304;128;
Dolphin3.0-Mistral-24B-Q4_K_M.gguf;14;OK;10;80.6;5.6;2304;128;
Qwen-AgentWorld-35B-A3B-UD-IQ3_S.gguf;14;OK;16;332.9;26.1;2303;128;
CursorCore-QW2.5-7B.fp16.gguf;15;OK;17;172.4;5.7;2687;128;
Phi-4-reasoning-vision-15b-q8_0.gguf;15;OK;16;129.1;5.0;2641;128;
DeepSeek-Coder-V2-Lite-Instruct-Q8_0.gguf;16;OK;15;566.0;24.3;2963;128;
gemma-4-26B-A4B-it-Claude-Opus-Distill.q4_k_m.gguf;16;OK;16;356.1;23.8;2304;128;
gemma-4-26B-A4B-it-UD-Q4_K_S.gguf;16;OK;11;352.2;18.7;2304;128;
gemma-4-31B-it-IQ4_XS.gguf;16;OK;16;59.2;4.3;2304;128;
Qwen3.5-27B.Q4_K_M.gguf;16;OK;11;70.4;4.7;2303;128;
QwQ-32B-UD-Q3_K_XL.gguf;16;OK;10;58.2;4.8;2687;128;
GLM-4.7-Flash-UD-Q4_K_XL.gguf;17;OK;16;214.1;20.3;2476;128;
granite-4.1-30b-UD-Q4_K_XL.gguf;17;OK;16;62.9;4.4;2641;128;
Qwen3.6-27B-MTP-UD-Q4_K_XL.gguf;17;OK;16;69.8;10.4;2303;128;
Qwen3.6-27B-UD-Q4_K_XL.gguf;17;OK;5;67.3;4.4;2303;128;
Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf;17;OK;16;403.3;33.4;2687;128;
open-r1_OlympicCoder-32B-Q4_K_M.gguf;19;OK;21;57.7;4.0;2687;128;
ornith-1.0-35b-Q4_K_M.gguf;20;OK;16;343.6;28.3;2303;128;
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf;21;OK;16;339.4;22.8;2303;128;
Qwen3.6-35B-A3B-MTP-UD-Q4_K_XL.gguf;22;OK;15;319.2;37.0;2303;128;
Nemotron-3-Nano-30B-A3B-Q4_K_M.gguf;23;OK;16;421.3;26.1;2304;128;
Qwen3.6-40B-Deck-Opus-NEO-CODE-HERE-2T-OT-HIGH-Q8_0.gguf;40;OK;31;44.8;1.8;2303;128;
Qwen3-Coder-Next-UD-Q4_K_XL.gguf;47;OK;31;242.2;19.0;2687;128;
MiniMax-M2.5-UD-IQ1_S-00001-of-00003.gguf;59;OK;36;96.9;15.0;2533;128;
NVIDIA-Nemotron-3-Super-120B-A12B-UD-Q4_K_XL-00001-of-00003.gguf;79;OK;46;89.9;6.4;2303;128;
Qwen3-235B-A22B-Thinking-2507-Q2_K-00001-of-00002.gguf;80;OK;41;63.4;7.8;2687;128;
