model;passed;total;pass_rate;truncated;gen_tps;gen_s
gemma-3-4b-it-Q4_K_M.gguf;5;8;62.5;0;26.6;60.2
VibeThinker-3B.Q8_0.gguf;4;8;50.0;4;22.9;358.8
Qwen2.5-VL-7B-Instruct-Q4_K_M.gguf;5;8;62.5;0;16.0;50.9
Qwen3-VL-8B-Instruct-Q4_K_M.gguf;7;8;87.5;0;14.9;54.6
GLM-4.6V-Flash-UD-Q4_K_XL.gguf;7;8;87.5;0;12.6;118.1
gemma-4-12B-it-qat-UD-Q4_K_XL.gguf;8;8;100.0;0;10.1;145.8
OpenCoder-8B-Instruct-Q8_0.gguf;6;8;75.0;8;9.9;517.8
Seed-Coder-8B-Instruct-Q8_0.gguf;8;8;100.0;0;9.1;70.3
ornith-1.0-9b-Q8_0.gguf;8;8;100.0;0;8.4;162.7
gpt-oss-20b-F16.gguf;5;8;62.5;3;19.6;170.2
Devstral-Small-2-24B-Instruct-2512-UD-Q4_K_XL.gguf;7;8;87.5;0;5.0;146.9
Dolphin3.0-Mistral-24B-Q4_K_M.gguf;6;8;75.0;0;5.1;142.4
Qwen-AgentWorld-35B-A3B-UD-IQ3_S.gguf;7;8;87.5;0;21.8;60.2
CursorCore-QW2.5-7B.fp16.gguf;0;8;0.0;0;5.6;360.7
Phi-4-reasoning-vision-15b-q8_0.gguf;7;8;87.5;0;4.6;151.7
DeepSeek-Coder-V2-Lite-Instruct-Q8_0.gguf;7;8;87.5;0;25.1;40.2
gemma-4-26B-A4B-it-Claude-Opus-Distill.q4_k_m.gguf;7;8;87.5;0;22.4;63.3
gemma-4-26B-A4B-it-UD-Q4_K_S.gguf;8;8;100.0;0;18.1;79.1
gemma-4-31B-it-IQ4_XS.gguf;8;8;100.0;0;4.1;313.3
Qwen3.5-27B.Q4_K_M.gguf;3;8;37.5;5;4.5;1046.1
QwQ-32B-UD-Q3_K_XL.gguf;4;8;50.0;4;4.8;1712.2
GLM-4.7-Flash-UD-Q4_K_XL.gguf;5;8;62.5;0;22.2;39.6
granite-4.1-30b-UD-Q4_K_XL.gguf;8;8;100.0;0;4.0;174.0
Qwen3.6-27B-MTP-UD-Q4_K_XL.gguf;8;8;100.0;0;10.2;150.4
Qwen3.6-27B-UD-Q4_K_XL.gguf;8;8;100.0;0;4.1;379.8
Qwen3-Coder-30B-A3B-Instruct-UD-Q4_K_XL.gguf;8;8;100.0;0;31.1;42.4
open-r1_OlympicCoder-32B-Q4_K_M.gguf;3;8;37.5;5;4.0;2175.7
ornith-1.0-35b-Q4_K_M.gguf;8;8;100.0;0;23.4;66.0
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf;8;8;100.0;0;19.9;86.1
Qwen3.6-35B-A3B-MTP-UD-Q4_K_XL.gguf;8;8;100.0;0;29.6;57.9
Nemotron-3-Nano-30B-A3B-Q4_K_M.gguf;8;8;100.0;0;19.8;47.4
Qwen3.6-40B-Deck-Opus-NEO-CODE-HERE-2T-OT-HIGH-Q8_0.gguf;8;8;100.0;0;1.7;870.1
Qwen3-Coder-Next-UD-Q4_K_XL.gguf;8;8;100.0;0;16.5;85.4
MiniMax-M2.5-UD-IQ1_S-00001-of-00003.gguf;0;8;0.0;8;14.7;349.3
NVIDIA-Nemotron-3-Super-120B-A12B-UD-Q4_K_XL-00001-of-00003.gguf;8;8;100.0;0;5.4;208.4
Qwen3-235B-A22B-Thinking-2507-Q2_K-00001-of-00002.gguf;;;;;;health_timeout
